8e33a9,2024-11-01 11:38:03,OPEN,,
9d472f,2024-11-01 11:38:22,DOWN,fusca,
cc95f5,2024-11-01 11:44:22,TEST,,0
945141,2024-11-01 11:47:31,DOWN,animal,
ee2c8d,2024-11-01 12:12:09,TEST,,COMP
e52f98,2024-11-01 12:12:51,TEST,,COMP
acafad,2024-11-01 12:13:59,TEST,,COMP
b770e5,2024-11-01 12:20:15,OPEN,,
531fd4,2024-11-01 12:20:22,TEST,,COMP
8b77dd,2024-11-01 12:21:25,TEST,,COMP
6d191a,2024-11-01 12:21:43,TEST,,COMP
b10ede,2024-11-01 12:21:58,TEST,,COMP
688a29,2024-11-01 12:22:06,TEST,,0
3cae65,2024-11-01 12:33:29,TEST,,COMP
8aac5f,2024-11-01 12:51:52,TEST,,0
61bdd5,2024-11-01 18:14:57,OPEN,,
84f58b,2024-11-01 18:45:23,TEST,,0
63f6e2,2024-11-06 22:50:35,OPEN,,
3653fb,2024-11-06 23:21:40,OPEN,,
0c5294,2024-11-06 23:35:23,TEST,,0
5d150c,2024-11-07 00:34:59,OPEN,,
235306,2024-11-07 00:39:18,TEST,,0
65e187,2024-11-07 01:04:09,TEST,,0
6ca18f,2024-11-07 01:04:25,TEST,,0
f99953,2024-11-07 01:25:33,TEST,,25
b0ed30,2024-11-07 01:26:57,TEST,,100
157609,2024-11-07 01:27:28,FREE,,
